Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"GUM","gs18","flair_ontonotes_model","MONEY","tnnt:Money",75,7,69.50,75,0.926667,0.785714,0.073333,0.134146,0.266990,0.089577,0.906667,0.000000,0.785714
"GUM","gs18","flair_ontonotes_model","QUANTITY","tnnt:Quantity",6109,66,6073.00,6112,0.993619,0.590909,0.006384,0.012632,0.030598,0.007959,0.989687,0.045455,0.619048
"GUM","gs18","flair_fast_ontonotes_model","QUANTITY","tnnt:Quantity",6002,64,5968.50,6006,0.993756,0.585938,0.006248,0.012364,0.029962,0.007789,0.990003,0.062500,0.625000
"GUM","gs18","spacy_sm_model","MONEY","tnnt:Money",37,4,36.00,38,0.947368,0.500000,0.054054,0.097561,0.188679,0.065789,0.918919,0.250000,0.666667
"GUM","gs18","spacy_md_model","MONEY","tnnt:Money",77,5,74.00,77,0.961039,0.600000,0.038961,0.073171,0.154639,0.047923,0.935065,0.000000,0.600000
"GUM","gs18","spacy_lg_model","MONEY","tnnt:Money",71,5,67.50,71,0.950704,0.700000,0.049296,0.092105,0.192308,0.060554,0.929577,0.000000,0.700000
"GUM","gs18","stanza_model","MONEY","tnnt:Money",76,4,73.50,76,0.967105,0.625000,0.032895,0.062500,0.135870,0.040584,0.947368,0.000000,0.625000
"GUM","gs18","stanza_model","QUANTITY","tnnt:Quantity",6004,68,5967.00,6008,0.993176,0.602941,0.006829,0.013505,0.032664,0.008512,0.989340,0.058824,0.640625
"GUM","gs18","spacy_sm_model","QUANTITY","tnnt:Quantity",2087,44,2067.00,2092,0.988050,0.568182,0.011979,0.023463,0.055236,0.014895,0.981313,0.113636,0.641026
"GUM","gs18","stanza_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"GUM","gs18","spacy_md_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"GUM","gs18","spacy_lg_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"GUM","gs18","flair_ontonotes_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"GUM","gs18","flair_fast_ontonotes_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"GUM","gs18","allennlp-finegrained-ner","PERSON","tnnt:Person",3352,24,3339.00,3354,0.995528,0.625000,0.004475,0.008886,0.021752,0.005584,0.993437,0.083333,0.681818
"GUM","gs18","allennlp-finegrained-ner","NORP","tnnt:NORP",2645,3,2643.00,2645,0.999244,0.666667,0.000756,0.001511,0.003764,0.000945,0.998866,0.000000,0.666667
"GUM","gs18","allennlp-finegrained-ner","FAC","tnnt:FAC",2302,16,2290.50,2303,0.994572,0.781250,0.005430,0.010785,0.026416,0.006776,0.993484,0.062500,0.833333
"GUM","gs18","allennlp-finegrained-ner","ORG","tnnt:Organisation",1523,15,1515.50,1524,0.994423,0.566667,0.005581,0.011053,0.026848,0.006959,0.990808,0.066667,0.607143
"GUM","gs18","allennlp-finegrained-ner","GPE","tnnt:GPE",2303,17,2290.00,2304,0.993924,0.823529,0.006079,0.012069,0.029523,0.007585,0.993053,0.058824,0.875000
"GUM","gs18","allennlp-finegrained-ner","LOC","tnnt:Location",1151,3,1150.00,1152,0.998264,0.666667,0.001738,0.003466,0.008598,0.002171,0.998262,0.333333,1.000000
"GUM","gs18","allennlp-finegrained-ner","PRODUCT","tnnt:Product",5080,6,5077.00,5080,0.999409,0.500000,0.000591,0.001180,0.002939,0.000738,0.998819,0.000000,0.500000
"GUM","gs18","allennlp-finegrained-ner","EVENT","tnnt:Event",3079,2,3079.00,3080,0.999675,0.500000,0.000325,0.000649,0.001620,0.000406,0.999675,0.500000,1.000000
"GUM","gs18","allennlp-finegrained-ner","WORK_OF_ART","tnnt:WorkOfArt",3412,4,3411.50,3413,0.999561,0.375000,0.000440,0.000878,0.002188,0.000549,0.999121,0.250000,0.500000
"GUM","gs18","allennlp-finegrained-ner","LAW","tnnt:Law",3411,2,3410.00,3411,0.999707,0.500000,0.000293,0.000586,0.001462,0.000366,0.999414,0.000000,0.500000
"GUM","gs18","allennlp-finegrained-ner","DATE","tnnt:Date",429,15,423.50,433,0.978060,0.633333,0.022145,0.042793,0.097137,0.027441,0.974359,0.266667,0.863636
"GUM","gs18","allennlp-finegrained-ner","TIME","tnnt:Time",425,7,419.00,425,0.985882,0.857143,0.014118,0.027778,0.066225,0.017575,0.983529,0.000000,0.857143
"GUM","gs18","allennlp-finegrained-ner","QUANTITY","tnnt:Quantity",4254,3,4252.00,4254,0.999530,0.666667,0.000470,0.000940,0.002344,0.000588,0.999295,0.000000,0.666667
"GUM","gs18","allennlp-finegrained-ner","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
