Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"BTC","ss4","deeppavlov_conll2003_model","MISC","tnnt:NPLLE",188,188,188.00,188,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","ss4","deeppavlov_conll2003_bert_model","LOC","tnnt:FGL",1734,990,1092.00,1818,0.600660,0.733333,0.418685,0.533040,0.637513,0.457986,0.477509,0.084848,0.801325
"BTC","gs18","deeppavlov_onto_model","GPE","tnnt:GPE",474,474,474.00,474,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","gs18","deeppavlov_onto_bert_model","GPE","tnnt:GPE",492,492,492.00,492,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","gs18","deeppavlov_onto_model","FAC","tnnt:FAC",68,68,68.00,68,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","gs18","deeppavlov_onto_bert_model","WORK_OF_ART","tnnt:WorkOfArt",40,40,40.00,40,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","ss4","deeppavlov_conll2003_bert_model","MISC","tnnt:NPLLE",218,218,218.00,218,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","gs18","deeppavlov_onto_bert_model","PRODUCT","tnnt:Product",46,46,46.00,46,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","gs18","deeppavlov_onto_model","WORK_OF_ART","tnnt:WorkOfArt",35,35,35.00,35,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","gs18","deeppavlov_onto_bert_model","FAC","tnnt:FAC",87,87,87.00,87,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","gs18","deeppavlov_onto_bert_model","NORP","tnnt:NORP",86,86,86.00,86,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","gs18","deeppavlov_onto_model","DATE","tnnt:Date",5,5,5.00,5,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","gs18","deeppavlov_onto_model","CARDINAL","tnnt:Cardinal",10,10,10.00,10,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","gs18","deeppavlov_onto_bert_model","EVENT","tnnt:Event",12,12,12.00,12,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","gs18","deeppavlov_onto_bert_model","LOC","tnnt:Location",1772,100,1698.50,1777,0.955824,0.785000,0.044300,0.083868,0.180709,0.054605,0.946388,0.050000,0.826316
