Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"feng","gs18","flair_fast_ontonotes_model","TIME","tnnt:Time",67,67,67.00,67,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","flair_fast_ontonotes_model","ORDINAL","tnnt:Ordinal",45,45,45.00,45,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","flair_fast_ontonotes_model","QUANTITY","tnnt:Quantity",1,1,1.00,1,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","flair_fast_ontonotes_model","PERCENT","tnnt:Percent",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"feng","gs18","flair_fast_ontonotes_model","MONEY","tnnt:Money",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"feng","ss4","flair_model","LOC","tnnt:FGL",11971,3178,9616.00,12106,0.794317,0.783512,0.208003,0.328735,0.504396,0.243821,0.745802,0.042480,0.818271
"feng","gs18","flair_ontonotes_model","GPE","tnnt:GPE",11081,2491,9129.00,11171,0.817205,0.819751,0.184279,0.300914,0.485151,0.218092,0.783323,0.036130,0.850479
"feng","ss4","flair_pooled_model","LOC","tnnt:FGL",11628,3085,9292.00,11749,0.790876,0.796434,0.211300,0.333990,0.512558,0.247696,0.745098,0.039222,0.828947
"feng","ss4","flair_model","MISC","tnnt:NPLLE",2488,1849,2186.00,2881,0.758764,0.375879,0.279341,0.320498,0.351578,0.294467,0.414791,0.212547,0.477335
"feng","gs18","flair_ontonotes_model","FAC","tnnt:FAC",671,307,741.50,787,0.942186,0.148208,0.067809,0.093047,0.119800,0.076062,0.715350,0.377850,0.238220
"feng","gs18","flair_ontonotes_model","ORG","tnnt:Organisation",14815,3745,12780.50,15033,0.850163,0.601469,0.152042,0.242726,0.378000,0.178756,0.761930,0.058211,0.638645
"feng","gs18","flair_ontonotes_model","LOC","tnnt:Location",330,330,330.00,330,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","flair_ontonotes_model","PRODUCT","tnnt:Product",595,226,666.50,706,0.944051,0.174779,0.066387,0.096224,0.131755,0.075787,0.806723,0.491150,0.343478
"feng","ss4","flair_model","PER","tnnt:Person",14950,5906,11152.50,15338,0.727116,0.708686,0.279967,0.401371,0.542529,0.318502,0.630903,0.065696,0.758518
